,가격,구매건수,리뷰 건수,찜 건수,개당 원가
166,65000,5,51,22,14100.0
167,39000,87,146,418,11500.0
168,109000,186,81,1592,18500.0
169,49900,497,534,1544,12590.0
170,77900,210,224,398,15390.0
171,87500,229,100,1462,16350.0
172,32900,134,38,363,10890.0
173,99000,202,242,294,17500.0
174,15900,2245,600,314,9190.0
175,139000,358,135,379,21500.0
176,193000,326,91,1528,26900.0
177,36000,478,456,791,11200.0
178,30900,450,572,287,10690.0
179,129000,242,293,398,20500.0
180,35600,106,125,187,11160.0
181,13800,1686,1459,416,8280.0
182,87900,815,426,1688,16390.0
183,149000,77,18,279,22500.0
184,99000,968,5436,2066,17500.0
185,33500,159,228,272,10950.0
186,39000,423,164,203,11500.0
187,39000,240,153,398,11500.0
188,79000,197,149,1607,15500.0
189,25000,101,20,250,10100.0
190,178000,241,564,1221,25400.0
191,209000,3,2,116,28500.0
192,25000,58,11,95,10100.0
193,34900,1619,2019,544,11090.0
194,29000,2560,1714,713,10500.0
195,62000,526,1244,628,13800.0
196,35900,38,48,102,11190.0
197,33800,288,179,882,10980.0
198,155000,30,9,36,23100.0
199,24900,12,191,114,10090.0
200,126000,107,20,126,20200.0
201,42000,94,54,93,11800.0
202,27000,2087,525,203,10300.0
203,42900,8,10,48,11890.0
204,74900,110,1358,176,15090.0
205,44900,146,254,199,12090.0
206,103900,551,238,429,17990.0
207,69000,219,53,92,14500.0
208,17900,664,149,168,9390.0
209,109000,213,232,1144,18500.0
210,29000,5,3,23,10500.0
211,107000,1160,150,205,18300.0
212,59000,65,10,208,13500.0
213,29900,49,24,124,10590.0
214,105700,449,916,1866,18170.0
215,89500,1216,218,573,16550.0
216,43200,286,397,171,11920.0
217,25800,27,13,7,10180.0
218,120000,80,14,272,19600.0
219,89900,10,13,51,16590.0
220,59900,165,43,214,13590.0
221,29900,13,390,134,10590.0
222,86000,122,268,359,16200.0
223,33800,8,4,65,10980.0
224,129000,544,701,1788,20500.0
225,128000,12,3,239,20400.0
226,43500,63,306,430,11950.0
227,28900,902,399,309,10490.0
228,41400,4,19,26,11740.0
229,26900,1215,1536,735,10290.0
230,87900,219,349,408,16390.0
231,49900,50,60,590,12590.0
232,59000,446,127,393,13500.0
